timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1617384983701,14,HTTP Request,308,Permanent Redirect,Thread Group 1-6,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,14,0,0
1617384983715,12,HTTP Request,308,Permanent Redirect,Thread Group 1-6,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,12,0,0
1617384983727,10,HTTP Request,308,Permanent Redirect,Thread Group 1-6,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,10,0,0
1617384983738,13,HTTP Request,308,Permanent Redirect,Thread Group 1-6,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,13,0,0
1617384983751,16,HTTP Request,308,Permanent Redirect,Thread Group 1-6,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,16,0,0
1617384983767,11,HTTP Request,308,Permanent Redirect,Thread Group 1-6,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,11,0,0
1617384983779,11,HTTP Request,308,Permanent Redirect,Thread Group 1-6,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,11,0,0
1617384983791,11,HTTP Request,308,Permanent Redirect,Thread Group 1-6,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,10,0,0
1617384983802,15,HTTP Request,308,Permanent Redirect,Thread Group 1-6,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,15,0,0
1617384983818,14,HTTP Request,308,Permanent Redirect,Thread Group 1-6,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,14,0,0
1617384985542,38,HTTP Request,308,Permanent Redirect,Thread Group 1-7,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,38,0,17
1617384985580,16,HTTP Request,308,Permanent Redirect,Thread Group 1-7,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,16,0,0
1617384985596,14,HTTP Request,308,Permanent Redirect,Thread Group 1-7,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,14,0,0
1617384985610,8,HTTP Request,308,Permanent Redirect,Thread Group 1-7,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,8,0,0
1617384985618,16,HTTP Request,308,Permanent Redirect,Thread Group 1-7,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,16,0,0
1617384985634,10,HTTP Request,308,Permanent Redirect,Thread Group 1-7,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,10,0,0
1617384985644,12,HTTP Request,308,Permanent Redirect,Thread Group 1-7,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,12,0,0
1617384985656,14,HTTP Request,308,Permanent Redirect,Thread Group 1-7,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,14,0,0
1617384985670,12,HTTP Request,308,Permanent Redirect,Thread Group 1-7,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,12,0,0
1617384985683,12,HTTP Request,308,Permanent Redirect,Thread Group 1-7,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,12,0,0
1617384985696,13,HTTP Request,308,Permanent Redirect,Thread Group 1-7,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,13,0,0
1617384985709,15,HTTP Request,308,Permanent Redirect,Thread Group 1-7,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,15,0,0
1617384985724,14,HTTP Request,308,Permanent Redirect,Thread Group 1-7,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,14,0,0
1617384985738,13,HTTP Request,308,Permanent Redirect,Thread Group 1-7,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,13,0,0
1617384985751,13,HTTP Request,308,Permanent Redirect,Thread Group 1-7,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,13,0,0
1617384985764,11,HTTP Request,308,Permanent Redirect,Thread Group 1-7,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,11,0,0
1617384985775,16,HTTP Request,308,Permanent Redirect,Thread Group 1-7,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,16,0,0
1617384985791,11,HTTP Request,308,Permanent Redirect,Thread Group 1-7,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,11,0,0
1617384985802,21,HTTP Request,308,Permanent Redirect,Thread Group 1-7,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,21,0,0
1617384985823,16,HTTP Request,308,Permanent Redirect,Thread Group 1-7,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,16,0,0
1617384987543,34,HTTP Request,308,Permanent Redirect,Thread Group 1-8,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,34,0,13
1617384987578,13,HTTP Request,308,Permanent Redirect,Thread Group 1-8,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,13,0,0
1617384987592,10,HTTP Request,308,Permanent Redirect,Thread Group 1-8,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,10,0,0
1617384987603,13,HTTP Request,308,Permanent Redirect,Thread Group 1-8,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,13,0,0
1617384987616,11,HTTP Request,308,Permanent Redirect,Thread Group 1-8,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,11,0,0
1617384987628,9,HTTP Request,308,Permanent Redirect,Thread Group 1-8,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,9,0,0
1617384987637,11,HTTP Request,308,Permanent Redirect,Thread Group 1-8,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,11,0,0
1617384987649,12,HTTP Request,308,Permanent Redirect,Thread Group 1-8,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,12,0,0
1617384987661,14,HTTP Request,308,Permanent Redirect,Thread Group 1-8,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,14,0,0
1617384987675,15,HTTP Request,308,Permanent Redirect,Thread Group 1-8,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,15,0,0
1617384987691,11,HTTP Request,308,Permanent Redirect,Thread Group 1-8,text,true,,398,132,1,1,http://reference-test.intellisense.io/#!/id/dashboards/554,11,0,0
